event_name,file_name,file_type,description,people,event_summary,file_url
ski trip,Screenshot 2025-10-04 at 3.37.37 PM.png,image,The image is taken from a bed in a hotel room. A television is mounted on the wall and is being controlled by a person's hand holding the remote. The room is dimly lit.,[],ski trip - A winter ski trip with friends enjoying the slopes and mountain activities,https://storage.googleapis.com/forgetmenot-videos/ski%20trip/Screenshot%202025-10-04%20at%203.37.37%E2%80%AFPM.png
ski trip,Screenshot 2025-10-04 at 3.38.22 PM.png,image,A young woman is sitting on a bed in a room with wooden paneling and is dressing a salad with a large spoon or other utensil. She is wearing light-colored pajamas and there are silver serving dishes on the bed. The room appears to be in a hotel or similar upscale establishment.,[],ski trip - A winter ski trip with friends enjoying the slopes and mountain activities,https://storage.googleapis.com/forgetmenot-videos/ski%20trip/Screenshot%202025-10-04%20at%203.38.22%E2%80%AFPM.png
ski trip,Screenshot 2025-10-04 at 3.38.30 PM.png,image,"The image shows a light-colored suitcase inside a dark wood wardrobe or closet. Next to it are shelves with hats and a safe. The room appears to be a hotel room, given the presence of the safe.",[],ski trip - A winter ski trip with friends enjoying the slopes and mountain activities,https://storage.googleapis.com/forgetmenot-videos/ski%20trip/Screenshot%202025-10-04%20at%203.38.30%E2%80%AFPM.png
ski trip,Screenshot 2025-10-04 at 3.38.37 PM.png,image,"The image features a close-up shot of beauty products from the brand Ilia, including a lipstick, serum, concealer and a bottle of moisturizer. These items are placed on a light brown wooden table, next to a small potted green plant and a small sign that says ""Cold Girl Makeup."" The setting is likely indoors, perhaps in a home or a beauty store, with a calm and neutral atmosphere.",[],ski trip - A winter ski trip with friends enjoying the slopes and mountain activities,https://storage.googleapis.com/forgetmenot-videos/ski%20trip/Screenshot%202025-10-04%20at%203.38.37%E2%80%AFPM.png
ski trip,isa sung ski-1.mp4,video,"The video shows a woman with long brown hair and a white headband talking to the camera at an airport lounge. She's holding her head with one hand and explaining that she's editing a vlog that is going up a day late because it's been a busy week. She mentions that the vlog will show her traveling and stopping by home, which she describes as both realistic and eventful.",[],ski trip - A winter ski trip with friends enjoying the slopes and mountain activities,https://storage.googleapis.com/forgetmenot-videos/ski%20trip/isa%20sung%20ski-1.mp4
ski trip,isa sung ski-13.mp4,video,"People are gathered in a dining room, with an open kitchen in the background, speaking Chinese. A woman in a red and black plaid shirt sets small white bowls on the table. Another woman can be seen in the kitchen cooking while a man watches. A person sits at the dining table and talks.",[],ski trip - A winter ski trip with friends enjoying the slopes and mountain activities,https://storage.googleapis.com/forgetmenot-videos/ski%20trip/isa%20sung%20ski-13.mp4
ski trip,isa sung ski-2.mp4,video,"The video features someone showing off the contents of a closet or room in a ski resort that contains a pink BEIS luggage, mittens, socks, a neck warmer, ski helmet and goggles, and a navy puffer jacket, and a beige jacket. The presenter says the gear is crazy and insane and is very excited about it.  The room seems to have all the gear necessary for a day out skiing.",[],ski trip - A winter ski trip with friends enjoying the slopes and mountain activities,https://storage.googleapis.com/forgetmenot-videos/ski%20trip/isa%20sung%20ski-2.mp4
ski trip,isa sung ski-3.mp4,video,"An unknown woman is indoors, possibly in a bathroom connected to a living area, and she is trying on a helmet for skiing. She struggles with the helmet's straps, but puts it on successfully. She decides that the helmet will be more secure with the satin bonnet on.",[],ski trip - A winter ski trip with friends enjoying the slopes and mountain activities,https://storage.googleapis.com/forgetmenot-videos/ski%20trip/isa%20sung%20ski-3.mp4
ski trip,isa sung ski-4.mp4,video,"The video is a tour of a hotel suite. A woman is speaking, starting in the closet and going on to the living area. The suite includes a fireplace, sofa, coffee tables, a bed with branding for ""ILIA X Halfdays"" on the pillows, and a nightstand with an ""In Room Dining Menu"".",[],ski trip - A winter ski trip with friends enjoying the slopes and mountain activities,https://storage.googleapis.com/forgetmenot-videos/ski%20trip/isa%20sung%20ski-4.mp4
ski trip,isa sung ski-5.mp4,video,"The video is a vlog or room tour by an unknown female. She shows several items she found in her hotel room, like leather gloves, socks, sunglasses, ""do not disturb"" hanger, and a cozy beige scarf. Then, she shows skincare products and pajama sets. Finally, she shows a bathrobe with her name on it, indicating that she got to the room and found several items already there to welcome her. She seems to be in a luxurious hotel.",[],ski trip - A winter ski trip with friends enjoying the slopes and mountain activities,https://storage.googleapis.com/forgetmenot-videos/ski%20trip/isa%20sung%20ski-5.mp4
